Study_ID,First_Author,Year,Title,DOI,OODA_Phase,CRISP_DM_Phase,OODA_CRISP_Label,NIH_AI_Score,Has_Performance_Metrics,Has_External_Validation,Has_Explainability,Has_Model_Transparency,Has_Bias_Fairness,Has_Clinical_Utility,Has_Safety_Monitoring,Has_Regulatory_Ethics,OP_Perf_Tags,Has_PDF,Notes
818,Chen,2025,"Machine learning-based nomogram for predicting depressive symptoms in women: A cross-sectional study in Guangdong Province, China.",,decide,evaluation,decide:evaluation,5,Y,N,Y,N,Y,Y,N,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
791,Zhang,2025,Understanding COVID-19 vaccine hesitancy among older adults in post-zero-COVID China: a predictive modeling study.,,decide,evaluation,decide:evaluation,4,Y,N,Y,N,Y,Y,N,N,human_resources|improved_patient_outcomes,,
795,Duan,2026,Predicting perceived likelihood of future suicide attempts in youth with non-suicidal self-injury: A machine learning approach using LightGBM and SHAP.,,decide,modeling,decide:modeling,1,N,N,Y,N,N,N,N,N,improved_patient_outcomes,,
798,Yang,2025,Predicting five-year comorbid bipolar disorder after attention-deficit/hyperactivity disorder diagnosis: a population-based machine learning approach.,,decide,evaluation,decide:evaluation,9,Y,N,Y,Y,Y,Y,Y,Y,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
8669,Zhang,2022,Development and validation of a random forest model for predicting radiation pneumonitis in lung cancer patients receiving moderately hypofractionated radiotherapy: a retrospective cohort study.,,decide,evaluation,decide:evaluation,4,Y,N,N,N,N,N,N,Y,improved_patient_outcomes,,
865,Jeong,2023,Development of a machine learning model to predict lateral hinge fractures by analyzing patient factors before open wedge high tibial osteotomy.,,decide,evaluation,decide:evaluation,7,Y,Y,N,N,N,Y,N,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
2384,Lazzarini,2022,A machine learning model on Real World Data for predicting progression to Acute Respiratory Distress Syndrome (ARDS) among COVID-19 patients.,,decide,modeling,decide:modeling,4,Y,N,N,N,N,N,Y,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
812,Yang,2025,Construction and validation of a machine learning-based model predicting early readmission in patients with decompensated cirrhosis: a prospective two-center cohort study.,,decide,evaluation,decide:evaluation,8,Y,Y,Y,N,Y,Y,N,N,human_resources|improved_healthcare_outcomes|improved_patient_outcomes,,
841,Li,2024,Combining computed tomography features of left atrial epicardial and pericoronary adipose tissue with the triglyceride-glucose index to predict the recurrence of atrial fibrillation after radiofrequency catheter ablation: a machine learning study.,,decide,evaluation,decide:evaluation,7,Y,N,Y,N,Y,Y,N,N,human_resources|process_throughput|improved_patient_outcomes,,
8645,Horde,2023,Creation and Validation of an Algorithm for Predicting the Recurrence of Atrial Fibrillation Following Pulmonary Vein Isolation by Utilizing Real-World Data and Ensemble Modeling Techniques.,,decide,evaluation,decide:evaluation,4,Y,N,N,N,N,N,Y,N,human_resources|improved_patient_outcomes,,
799,Rai,2025,Evaluating XAI techniques under class imbalance using CPRD data.,,decide,evaluation,decide:evaluation,4,N,N,Y,N,N,N,N,Y,human_resources|improved_patient_outcomes,,
895,Adams,2026,Asymptomatic testing compared with standard care of the care home staff in shaping care home COVID-19 testing policy: the VIVALDI-CT pragmatic cluster RCT (VIVALDI-CT).,,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,,
6906,Parashar,2025,IoT-enabled medical advances shaping the future of orthopaedic surgery and rehabilitation.,,decide,evaluation,decide:evaluation,1,N,N,Y,N,N,N,N,N,,,
17,Campagner,2024,Second opinion machine learning for fast-track pathway assignment in hip and knee replacement surgery: the use of patient-reported outcome measures.,,decide,modeling,decide:modeling,7,Y,N,Y,N,Y,Y,Y,N,human_resources|improved_patient_outcomes,,
806,Hsu,2026,Uncovering predictors of bipolar II conversion to bipolar I: A machine learning analysis of national health records in Taiwan.,,decide,modeling,decide:modeling,0,N,N,N,N,N,N,N,N,,,
861,Datta,2023,Using machine learning to identify patient characteristics to predict mortality of in-patients with COVID-19 in south Florida.,,decide,modeling,decide:modeling,5,N,N,Y,N,Y,Y,Y,N,cost|improved_healthcare_outcomes|improved_patient_outcomes,,
815,Liu,2025,Development and validation of an interpretable multi-task model to predict outcomes in patients with rhabdomyolysis: a multicenter retrospective cohort study.,,decide,evaluation,decide:evaluation,8,Y,Y,Y,N,N,Y,N,N,human_resources|cost|improved_patient_outcomes,,
777,Roldán,2026,FibreCastML: an open web platform for predicting electrospun nanofibre diameter distributions for biomedical applications.,,decide,modeling,decide:modeling,6,Y,N,Y,Y,Y,Y,N,N,human_resources|process_throughput|improved_patient_outcomes,,
827,Kumar,2025,AI-driven analysis by identifying risk factors of VL relapse in HIV co-infected patients.,,decide,modeling,decide:modeling,4,N,N,Y,N,Y,Y,Y,N,human_resources|improved_patient_outcomes,,
